submission_id,title,abstract,fullname,coauthors,institution,theme,talk_format,starttime,endtime,url
rec01aHMWBgudGF6r,Mind-body relationships and neuroscientific frameworks: a pluralistic proposal based on cultural anthropology,"Mind/body dualism — or the question of the mind’s origins — is a problem central to the development of Western cognitive science. Can the mind be disentangled from the physical entity which exists in the time and space continuum that is associated with mental phenomena? The majority of Western thinkers have operated within this framework of discreteness and separability of notions related to the mind itself. 
However, there is an alternative approach to the mind-body problem, based in the worldview of nomadic civilizations of Eurasia. A relatively unknown framework of thought is characteristic for people who practice transhumance — a type of pastoralist livestock herding in Eurasia. Transhumance remains well-preserved in the knowledge and language of ethnic groups of the region. Namely, it has an innate linguistic intractability: there is no separation of abstract notions (e.g., “mind” uses the same word as “consciousness”, “advice”, “memory”).  
In my argument, I will refer to the historical discourse of censorship and colonialism, which hindered the spread and, perhaps, even the possibility of conceptualization of the nomadic world view. As such, I will briefly explore the syncretic relationships between Tengrism, Islam, and other frameworks of cosmological thought which, along with the nature of the nomadic lifestyle, inform the details of the cognitive framework. 
After introducing the elements of nomadic civilization, I will provide a brief comparative analysis of the main Western schools of thought using the nomadic “structureless” frame of mind. Concise, yet informative, juxtapositions of views enable the differences to be seen in terms more closely approximated to the Western images of dualistic entities. Thus, my analysis provides a basis for traditionally omitted paradigms of philosophy, and may give rise to a new system of categorization of philosophical notions. ",Kamilya Salibayeva,,Indiana University Bloomington (grid.411377.7),"Theme F: History, Education and Society",Traditional talk,2020-10-26 21:00:00+00:00,2020-10-26 21:15:00+00:00,https://youtu.be/_Zs6KsblJOY
rec02CWKxInzvRurN,"Resting State fMRI Connectivity in Schizophrenia, Bipolar Disorder, and Healthy Controls","Working Abstract:

Ongoing thought patterns, emerging from a collection of dynamically-connected neural systems, represent rich data that may contain valuable biomarkers for healthy vs. abnormal human cognition.  In the distinction between neurotypical and abnormal brain function, connectivity analyses of resting-state fMRI data (rsfMRI) provide non-invasive biobehavioral estimations of functional connectonomics, which can then be aggregated for comparisons across demographic and diagnostic variables.  The development and maturation of these computational connectivity analyses is promising for translational neuroscience, as a diagnostic tool to predict outcomes and optimize treatment selection, as well as for basic research, to advance the understanding of both healthy brain function and the evolving conceptualization of some mental disorders as heterogeneous “circuitopathies”, with distinct subtypes differentiated by individual circuits of disfunction.
In our current research, we investigate models of resting-state connectivity in fMRI data of schizophrenia, bipolar disorder, and healthy controls (SZ, BP, HC; respectively), using Dynamic Graphical Models (DGMs).  These multilinear models allow the estimation of directed connectivity, such that parent-child node connections are reported.  Our data has been previously collected as part of research at the Norwegian Centre for Mental Disorders Research (NORMENT).  At this stage in the research, we are using a DGM to investigate group differences between the SZ, BP, and HC groups.",Daniel Brown,"Daniel Brown, University of Oslo, Haakon Engen, NORMENT",University of Oslo (grid.5510.1),Theme E: Computational modelling and Techniques,Interactive talk,2020-10-29 12:00:00+00:00,2020-10-29 12:15:00+00:00,
rec0EyLZjCfp0jJau,"Neural representations of time, space and other continuous variables",,Marc Howard,,Boston University,"Theme D: Cognition, Motivation and Emotion",Keynote Event,2020-10-26 19:00:00+00:00,2020-10-26 20:00:00+00:00,
rec0Jg1vlRBuPZAs5,Predictive mechanisms are involved in perceptual stability across saccades,"It has been suggested that perceptual stability across saccades relies on predictive mechanisms. Specifically, predictions of what should occur after the saccade modulate our perception of the visual scene once the saccade has been executed.
To investigate this, we measured how perceptual discrimination of a visual target at a peripheral location before saccading to it, is influenced by changes in the visual scene after the saccade. Participants’ task was to discriminate a symbol at a peripheral location, before saccading to it. We manipulated information in the visual scene after the saccade in various ways (removal, change in identity or shifts). Because changes after the saccade were irrelevant to the task, we hypothesized that changes in discrimination performance, if any, could only be attributable to disrupted comparisons between our pre-saccadic expectation and our post-saccadic perception of the visual scene. We observed that the disappearance of the saccade goal target, without the disappearance of the surrounding stimuli, reduced the discrimination performance compared to baseline. Importantly, discrimination performance remained unchanged when the entire visual scene, including or excluding the saccade goal target, was removed. These results support the idea that discrimination decreases are not due to abrupt changes affecting memory of the target. It also suggests that removal of the visual scene does not disrupt predictive mechanisms, likely because changes are correctly attributed to the external world. 
We also observed that shifts in the position of the saccade goal target after the saccade disrupted discrimination performance to a much greater degree when the position shifted outside the distribution of saccade endpoints both parallel and perpendicular to the target. This supports the notion of predictive mechanisms taking saccade-related motor noise into account when comparing pre- and post- visual target information, thus involved in the perception of a visual scene across saccades. ",Anne-Sophie Laurin,"Anne-Sophie Laurin, University of Montreal, Department of Psychology; Maxime Bleau, University of Montreal, School of Optometry; Jessica Gedjakouchian, University of Montreal, School of Optometry; Romain Fournet, University of Montreal, School of Optometry; Laure Pisella, ImpAct, INSERM UM1028, CNRS UMR 5292, University Claude Bernard Lyon 1; Aarlenne Zein Khan, University of Montreal, School of Optometry. ",University of Montreal (grid.14848.31),"Theme C: Sensory & Motor Systems, and Physiology/Behavior",Traditional talk,2020-10-29 17:00:00+00:00,2020-10-29 17:15:00+00:00,
rec0LlLv3pw1uaxXv,Is the brain macroscopically linear? A system identification of resting state dynamics,"A central challenge in the computational modeling of neural dynamics is the trade-off between accuracy and simplicity. At the level of individual neurons, nonlinear dynamics are both experimentally established and essential for neuronal functioning. One may therefore expect the collective dynamics of massive net- works of such neurons to only increase in their complexity, thereby supporting an expanded repertoire of nonlinear behaviors. An implicit assumption has thus formed that an “accurate” computational model of whole-brain dynamics must inevitably be nonlinear whereas linear models may provide a first-order approximation. To what extent this assumption holds, however, has remained an open question. Here, we provide a rigorous and data-driven answer at the level of whole-brain blood-oxygen-level-dependent (BOLD) and macroscopic field potential dynamics by leveraging the theory of system identification. Using functional magnetic resonance imaging (fMRI) and intracranial electroencephalography (iEEG), we model the spon- taneous, resting state activity of 700 subjects in the Human Connectome Project (HCP) and 122 subjects from the Restoring Active Memory (RAM) project using state-of-the-art linear and nonlinear model fam- ilies. We assess relative model fit using predictive power, computational complexity, and the extent of residual dynamics unexplained by the model. Contrary to our expectations, linear auto-regressive models achieve the best measures across all three metrics, eliminating the trade-off between accuracy and simplic- ity. To understand and explain this linearity, we highlight four properties of macroscopic neurodynamics which can counteract or mask microscopic nonlinear dynamics: averaging over space, averaging over time, observation noise, and limited data samples. Whereas the latter two are technological limitations and can improve in the future, the former two are inherent properties of aggregate macroscopic brain activity. Our results demonstrate the discounted potential of linear models in accurately capturing macroscopic brain dynamics. This, together with the unparalleled interpretability of linear models, can greatly facilitate our understanding of macroscopic neural dynamics, which in turn may facilitate the principled design of model-based interventions for the treatment of neuropsychiatric disorders.",Erfan Nozari,Jennifer Stiso; Lorenzo Caciagli; Eli J. Cornblath; Xiaosong He; Maxwell A. Bertolero; Arun S. Mahadevan; George J. Pappas; and Danielle S. Bassett,"University of California, Riverside (grid.266097.c)",Theme E: Computational modelling and Techniques,Traditional talk,2020-10-27 21:00:00+00:00,2020-10-27 21:15:00+00:00,
rec0OncnEzJqdHHwz,Simulation-based inference of neural models from large-scale single-neuron electrophysiology,"Mechanistic models are useful tools in neuroscience for testing whether proposed mechanisms are consistent with experimental data. Further, biophysically-detailed neural models can help infer parameters that are not easily measurable, such as ionic channel densities. Recent advances in likelihood-free statistical inference have given neuroscientists the opportunity to use both these biophysically-detailed models and statistical inference in their analyses. We test a new inference tool, which incorporates these recent advances, on the Allen Institute Cell Types Database. Sequential Neural Posterior Estimation (SNPE) is a tool for fast identification of model parameters consistent with both a chosen prior distribution and experimental data. SNPE trains an artificial neural network on synthetic data, using this trained network to estimate the posterior distribution of model parameters from experimental data. Previous studies have tested SNPE on a homogenous set of experimental protocols. For this study, we explore the viability of SNPE in a different context, by testing SNPE on a more diverse set of experiments. Our test dataset is derived from surgical samples from the human brain, with neurons tested adaptively at different current levels. To accommodate this diverse dataset, we use high-level features that generalize across experimental sweeps, rather than features from a particular neuron's voltage trace. We simulate two neural models, with parameters drawn from an informed prior distribution, and compute these high-level features from this synthetic data. With these synthetic features and SNPE, we conduct amortized simulation-based inference (SBI) on our dataset. We find that our amortized SBI across this dataset produces models inconsistent with the electrophysiological data, using both a reduced and conductance-based model. These inconsistent results show the difficulties of using SNPE in this new context, the sensitivity of SBI to feature selection, and the challenge of selecting a prior. ",Joseph Nelson,Tom Chartrand ,University of Pittsburgh (grid.21925.3d),Theme E: Computational modelling and Techniques,Interactive talk,2020-10-27 21:00:00+00:00,2020-10-27 21:15:00+00:00,
rec0a3d3aqgZkqR5H,Inhibitory circuits that gate synaptic enhancement in olfactory cortex,,Anne-Marie Oswald,,University of Pittsburgh,"Theme B: Neural Excitability, Synapses, and Glia",Keynote Event,2020-10-27 15:00:00+00:00,2020-10-27 16:00:00+00:00,
rec0bpVItD056wq2Q,Neural mechanisms of emotion regulation: A study with fMRI and dynamic causal modeling,"How our brain regulate the emotions during a reapprasial task? To investigate mechanisms involved in this task we have selected a connectivity network consisting of three regions two prefrontal cortex area (vmPFC-dlPFC) and one limbic structures (amygdala). It was studied in two women populations healthy control and obeses. The results describe a neural mechanism for controlling emotion regulation during a task of reappraisal. We conducted Dynamic Causal Modeling (DCM) analysis, we used this approach to investigate the contribution the prefrontal cortex in the downregulated of the amygdala, finding that vmPFC and dlPFC in healthy control reduced negative emotional experience during cognitive reappraisal of aversive images, using the reappraisal task as modulatory factor in each of the connections of our model. DCM was recently supplemented with a hierarchical model over parameters, called the Parametric Empirical Bayes (PEB) framework which allows quantify the commonalities and differences across subjects which will allow us to make a comparison between two populations. The findings highlight are role of effective connectivity from vmPFC-dlPFC to amygdala in order to control emotions.",Pablo Maturana ,,UNIVERSITY OF BARCELONA ,"Theme D: Cognition, Motivation and Emotion",Traditional talk,2020-10-28 09:00:00+00:00,2020-10-28 09:15:00+00:00,https://youtu.be/J-pOmBWKKEI
rec0tAcvdlC6mm4Db,Transcriptomic Analysis of the brains of Symptomatic and Asymptomatic Alzheimer’s Patients,"Asymptomatic Alzheimer’s diseases (Asym-AD) is a condition where patients have intact cognition but neuropathology similar to Alzheimer’s disease (AD). Studying the genome-wide expression of transcripts in Asym-AD brains could help us understand the molecular mechanisms that play a role in the onset of AD. Microarray expression counts from the entorhinal, temporal, cerebellum and frontal regions of the brain is taken for AD, Asym-AD and Normal (control) patients collected from the GEO database. The gene expression of the three conditions are compared as three different cases: AD versus Asym-AD, AD versus control and Asym-AD versus control. All analysis was done using the R software. Differential gene expression (DGE) and Co-expression is first done to analyse the abnormalities in the transcriptome. Overrepresentation analysis (ORA) and Gene set enrichment analysis (GSEA) is done to find out the significant pathways and modules. Finally, protein-protein interaction networks are constructed to identify potential network hubs for targeting. Neuronal pathways including postsynaptic signal transduction, transmission across synapses and release of neurotransmitters were affected in all cases, and some interesting pathways such as Innate immunity and Neutrophil degranulation was found to be altered in the Asymptomatic AD versus control case. This could suggest an immunological basis for the Asymptomatic AD as a cause or direct side effect of AD neuropathology.  ",Varun Ullanat,Ryna S,RV College of Engineering ,"Theme A: Development, Neurodegenerative Disorders and Injury",Interactive talk,2020-10-30 12:00:00+00:00,2020-10-30 12:15:00+00:00,
rec0wKH3JAH6t4aO4,Investigating activity-dependent processes in cortical neuronal assembly and in developmental epileptic encephalopathy,"The cerebral cortex contains an extraordinary diversity of excitatory projection neuron (PN) and inhibitory interneurons (IN), wired together to form complex circuits. Spatiotemporally coordinated events involving the execution of intrinsic molecular programs and activity-dependent processes contribute to cortical development, and alterations of these delicate processes have been associated to neurological/neurodevelopmental disorders. Despite the recent groundbreaking discovery of spontaneous activity in the embryonic brain, it is still unclear whether early activity contributes to shape subtype-specific neuronal identity. Trough in utero genetic perturbation and pharmacological inhibition of selected ion channels, known to control excitability, we aim at identify the activity-regulated processes controlling the development of different cortical PN classes and their wiring. Our project aims at dissecting the contribution of activity-dependent processes in the acquisition of subtype specific features of developing cortical neurons, trough in vivo genetic manipulation of distinct channels known to be regulator of neuronal excitability and/or associated with developmental epileptic encephalopathy. We are currently combining RNA sequencing technology and in utero experimental activity perturbations, to identify coupled activity and molecular modules involved in cerebral cortex development and disease.  ",Sara Mancinelli,"Filippo Mirabella, IRCCS Humanitas Clinical and Research Center, Via Manzoni 56, 20089 Rozzano - Milan, Italy; Monica Tambalo, IRCCS Humanitas Clinical and Research Center, Via Manzoni 56, 20089 Rozzano - Milan, Italy; Rosalba Olga Proce, IRCCS Humanitas Clinical and Research Center, Via Manzoni 56, 20089 Rozzano - Milan, Italy;  Christel Depienne, University Hospital Essen, Institute of Human Genetics, Hufelandstrasse 55, 45147, UK Essen, Germany; Roberto Rusconi, Humanitas University, Department of Biomedical Sciences, Via Rita Levi Montalcini 4, 20090 - Pieve Emanuele-Milan, Italy; Davide Pozzi, Humanitas University, Department of Biomedical Sciences, Via Rita Levi Montalcini 4, 20090 - Pieve Emanuele-Milan, Italy; Simona Lodato, Humanitas University, Department of Biomedical Sciences, Via Rita Levi Montalcini 4, 20090 - Pieve Emanuele-Milan, Italy.",Humanitas University,"Theme A: Development, Neurodegenerative Disorders and Injury",Interactive talk,2020-10-29 09:00:00+00:00,2020-10-29 09:15:00+00:00,
